NAME_2,NAME_3,lat,long,elevation,ndvi,slope,landcover_class
Grobogan,geyer,-7.2303,110.9365,93.926,0.554,0.695,8
Grobogan,tawangharjo,-7.044,111.0091,107.002,0.572,1.314,8
Halmahera Utara,kaobarat,1.3337,127.794,201.567,0.682,2.353,8
Hulu Sungai Selatan,loksado,-2.8063,115.4813,438.653,0.531,5.504,8
Hulu Sungai Tengah,barabai,-2.5795,115.3881,18.677,0.492,0.091,8
Hulu Sungai Tengah,batubenawa,-2.6172,115.4369,47.701,0.53,0.841,8
Hulu Sungai Utara,amuntaitengah,-2.4789,115.2645,8.62,0.513,0.059,8
Hulu Sungai Utara,haurgading,-2.3714,115.2335,10.865,0.415,0.067,8
Indragiri Hilir,gaung,-0.054,102.9898,20.76,0.452,0.138,8
Indramayu,widasari,-6.4666,108.2733,8.629,0.239,0.072,2
Jember,ambulu,-8.3813,113.6069,40.067,0.58,1.488,8
Jember,kalisat,-8.123,113.8069,242.51,0.763,1.261,8
Jember,kaliwates,-8.1847,113.6761,85.842,0.545,0.68,0
Jember,pakusari,-8.1574,113.7695,159.671,0.746,0.783,8
Jember,sumbersari,-8.178,113.728,110.63,0.602,0.57,8
Kampar,kampar,0.2792,101.1267,73.204,0.505,0.621,8
Kampar,tambang,0.3727,101.308,28.722,0.443,0.215,8
Karangasem,sidemen,-8.4832,115.4394,332.098,0.62,3.966,8
Kendal,gemuh,-6.9976,110.1171,43.384,0.691,0.839,8
Kendal,patebon,-6.8953,110.1833,6.191,0.52,0.101,2
Kepulauan Sangihe,tahuna,3.625,125.4836,125.629,0.655,4.949,8
Ketapang,benuakayong,-1.7733,110.2128,16.956,0.539,0.167,8
Klaten,gantiwarno,-7.7773,110.5595,135.803,0.593,0.992,2
Klaten,klatenselatan,-7.7199,110.5879,159.69,0.517,0.551,8
Kota Bima,rasanaetimur,-8.4886,118.8222,296.625,0.706,3.954,8
Kota Semarang,tembalang,-7.0485,110.461,86.563,0.455,1.856,8
Kota Semarang,tugu,-6.9619,110.3299,3.984,0.321,0.328,6
Kota Solok,tanjungharapan,-0.7626,100.6609,468.032,0.503,2.38,8
Kudus,undaan,-6.9069,110.8267,8.61,0.525,0.114,2
Lamongan,babat,-7.109,112.2144,14.149,0.483,0.266,2
Lamongan,deket,-7.0994,112.4549,5.69,0.21,0.02,2
Lamongan,karangbinangun,-7.0324,112.4607,5.483,0.31,0.032,2
Landak,mandor,0.3224,109.4022,40.544,0.555,0.788,8
Landak,sengahtemila,0.3461,109.6893,72.285,0.628,1.542,8
Lombok Tengah,prayatimur,-8.7873,116.3807,103.296,0.455,0.655,2
Malinau,malinaubarat,3.3653,116.6491,149.907,0.663,1.855,8
Malinau,malinaukota,3.5611,116.6816,23.659,0.544,0.549,8
Minahasa,pineleng,1.4071,124.7872,435.426,0.604,6.647,8
Minahasa,tombariri,1.3684,124.674,244.742,0.733,4.381,8
Minahasa Utara,kalawat,1.451,124.9291,124.542,0.689,1.53,8
Nagekeo,aesesa,-8.5682,121.2624,261.786,0.611,4.065,8
Ngada,soa,-8.7035,121.0669,406.657,0.773,2.213,8
Nganjuk,loceret,-7.6978,111.8851,249.837,0.631,2.46,8
Pasuruan,tosari,-7.8996,112.9038,1776.863,0.346,7.56,8
Pekalongan,kedungwuni,-6.9651,109.6506,19.137,0.345,0.244,8
Pidie,delima,5.3369,95.8997,18.106,0.597,0.262,2
Pidie,mila,5.2849,95.8858,62.595,0.67,1.047,8
Pidie,padangtiji,5.3536,95.8174,162.129,0.613,2.874,8
Polewali Mandar,tapango,-3.3122,119.2533,257.02,0.61,5.188,8
Purworejo,bagelen,-7.8113,110.0401,126.676,0.778,2.872,8
Sanggau,parindu,0.2178,110.4281,49.992,0.649,0.401,8
Serang,padarincang,-6.2076,105.9684,186.162,0.521,2.897,8
Serang,kopo,-6.2851,106.3766,25.577,0.379,0.195,8
Serang,kramatwatu,-6.0399,106.113,15.027,0.312,0.574,2
Sidoarjo,tanggulangin,-7.5071,112.7227,3.907,0.371,0.056,2
Sijunjung,sumpurkudus,-0.4352,100.9322,510.361,0.406,5.531,8
Sijunjung,tanjunggadang,-0.8509,101.1378,528.145,0.428,4.869,8
Sukabumi,ciracap,-7.3223,106.4689,82.175,0.595,1.107,8
Tanah Datar,sungaitarab,-0.4021,100.5398,1017.03,0.391,6.706,8
Tapanuli Tengah,andamdewi,2.0681,98.3943,106.965,0.801,3.282,8
Tapanuli Tengah,barus,2.0246,98.4114,18.613,0.754,0.759,8
Tapanuli Tengah,pasaributobing,1.9857,98.6188,242.345,0.852,6.495,8
Tapanuli Tengah,sarudik,1.7375,98.841,317.217,0.823,6.515,8
Tapanuli Tengah,sitahuis,1.8051,98.8239,510.46,0.859,4.816,8
Balangan,lampihong,-2.3631,115.3801,18.966,0.791,0.147,8
Balangan,paringin,-2.2775,115.5006,40.961,0.616,0.41,8
Bandung Barat,padalarang,-6.8409,107.4746,696.983,0.485,2.396,8
Bangkalan,sepulu,-6.9271,112.9686,62.094,0.707,1.081,8
Banjar,gambut,-3.4211,114.6801,8.327,0.561,0.068,8
Banjar,martapura,-3.4005,114.8693,10.499,0.554,0.182,8
Barito Utara,gunungtimang,-1.2391,115.1967,103.053,0.863,0.717,8
Berau,telukbayur,2.0244,117.2917,51.096,0.585,0.807,8
Bogor,kelapanunggal,-6.4832,106.9552,203.856,0.461,3.061,8
Bojonegoro,baureno,-7.1227,112.0998,16.373,0.635,0.219,2
Ciamis,pamarican,-7.456,108.5144,164.336,0.744,2.971,8
Cirebon,kedawung,-6.7164,108.5333,13.01,0.361,0.289,0
Cirebon,talun,-6.7684,108.5093,92.586,0.584,1.776,8
Cirebon,waled,-6.9098,108.6854,36.659,0.65,0.835,2
Garut,cisurupan,-7.3052,107.7665,1588.148,0.491,7.967,8
Grobogan,gabus,-7.1868,111.1935,111.393,0.726,0.69,8
Grobogan,pulokulon,-7.1672,111.0544,70.489,0.667,0.469,8
Hulu Sungai Utara,banjang,-2.446,115.3327,12.109,0.784,0.118,8
Karangasem,bebandem,-8.406,115.542,790.408,0.701,8.182,8
Karawang,pangkalan,-6.4634,107.2281,80.878,0.63,1.096,8
Karawang,tegalwaru,-6.522,107.243,272.577,0.62,4.904,8
Ketapang,manismata,-2.4545,111.0066,26.706,0.667,0.319,8
Kota Bandung,arcamanik,-6.9203,107.6771,683.6,0.331,0.666,0
Kota Bandung,sukajadi,-6.8882,107.5902,781.41,0.312,1.893,0
Kota Bima,rasanaebarat,-8.4679,118.721,39.215,0.505,2.802,8
Kuningan,cimahi,-7.0006,108.6986,102.299,0.665,1.829,8
Kuningan,hantara,-7.0644,108.4538,522.423,0.606,6.22,8
Landak,jelimpo,0.3779,110.1007,85.367,0.616,1.448,8
Lima Puluh Kota,luak,-0.2689,100.6787,770.779,0.584,5.396,8
Mojokerto,gondang,-7.6768,112.4825,814.272,0.535,7.06,8
Mojokerto,pungging,-7.5365,112.5713,68.271,0.599,1.033,2
Muaro Jambi,kumpeh,-1.5378,104.0535,20.789,0.518,0.138,8
Musi Rawas,muaralakitan,-3.1448,103.419,60.792,0.526,0.269,8
Ogan Komering Ulu Timur,cempaka,-3.7524,104.7134,33.268,0.566,0.204,8
Siak,sungaiapit,0.797,102.4194,23.69,0.584,0.211,8
Sikka,waigete,-8.6395,122.4492,394.433,0.538,7.747,8
Situbondo,asembagus,-7.8635,114.2119,413.749,0.644,2.993,8
Situbondo,besuki,-7.7545,113.7023,35.998,0.519,1.052,8
Solok,kubung,-0.8191,100.6064,842.092,0.534,5.673,8
Solok Selatan,sungaipagu,-1.4704,101.0808,807.883,0.634,7.428,8
Sragen,gemolong,-7.3958,110.841,143.578,0.699,0.563,2
Sragen,mondokan,-7.3191,110.9297,113.659,0.662,0.509,8
Sumbawa,rhee,-8.4946,117.2331,386.808,0.642,5.502,8
Sumbawa Barat,seteluk,-8.6402,116.8743,171.657,0.756,4.843,8
